WigleWifi-1.4,appRelease=2.25,model=LG-H815,release=6.0,device=p1,display=MRA58K,board=msm8992,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:05:38,Ariel_University,[ESS],2017-10-30 18:10:33,1,-78,32.10483761,35.20963138,684,10,WIFI
00:27:22:f3:bb:2b,,[ESS],2017-10-30 18:10:33,6,-85,32.10483761,35.20963138,684,10,WIFI
1c:b9:c4:15:44:58,Ariel_University,[ESS],2017-10-30 18:10:33,11,-83,32.10483761,35.20963138,684,10,WIFI
f8:d1:11:77:75:4e,iAgree,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-30 18:10:33,9,-81,32.10483761,35.20963138,684,10,WIFI
1c:b9:c4:96:05:37,,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:33,44,-83,32.10483761,35.20963138,684,10,WIFI
d8:fe:e3:03:4f:a9,EVE,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:33,1,-85,32.10483761,35.20963138,684,10,WIFI
f8:e9:03:12:ef:3b,ShapeDo,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:33,11,-90,32.10483761,35.20963138,684,10,WIFI
1c:b9:c4:16:05:3c,Ariel_University,[ESS],2017-10-30 18:10:33,44,-78,32.10483761,35.20963138,684,10,WIFI
1c:b9:c4:15:23:58,Ariel_University,[ESS],2017-10-30 18:10:33,11,-86,32.10483761,35.20963138,684,10,WIFI
00:1a:dd:f5:e8:44,Afikim-923,[ESS],2017-10-30 18:10:33,1,-87,32.10483761,35.20963138,684,10,WIFI
24:79:2a:2c:5b:d8,Ariel_University,[ESS],2017-10-30 18:10:33,6,-89,32.10483761,35.20963138,684,10,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS],2017-10-30 18:10:33,11,-90,32.10483761,35.20963138,684,10,WIFI
70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 18:10:33,1,-81,32.10483761,35.20963138,684,10,WIFI
c4:12:f5:85:35:78,incentive2,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:33,11,-91,32.10483761,35.20963138,684,10,WIFI
1c:b9:c4:14:62:48,Ariel_University,[ESS],2017-10-30 18:10:33,11,-87,32.10483761,35.20963138,684,10,WIFI
42501_7211_3084801,012 Mobile,UNKNOWN;il,2017-10-30 18:10:33,0,-113,32.10483761,35.20963138,684,10,GSM
c4:12:f5:85:27:b8,Neuropplied,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:37,11,-86,32.10493162,35.20970671,675,6,WIFI
74:ea:3a:ad:d1:50,TP-LINK_ADD150,[WPS][ESS],2017-10-30 18:10:37,1,-84,32.10493162,35.20970671,675,6,WIFI
42501_7211_3084804,012 Mobile,UNKNOWN;il,2017-10-30 18:10:37,0,-113,32.10493162,35.20970671,675,6,GSM
d0:bf:9c:db:31:30,HP-Print-30-Officejet 7610,[WPA2-PSK-CCMP][ESS],2017-10-30 18:10:41,11,-87,32.10494171,35.20983935,690,6,WIFI
